filial;id_venc;codigo;descricao;lote;qtd_vencendo;dt_vencimento;prc_venda
43;00063893;996610;ICE TEA LIMAO 450ML           ;;2;202608;4;
27;00059244;996610;ICE TEA LIMAO 450ML           ;;5;202608;4;
51;00073719;996610;ICE TEA LIMAO 450ML           ;;3;202608;4;
76;00075825;996610;ICE TEA LIMAO 450ML           ;;4;202608;4;
62;00080043;996629;REFRI COCA COLA PET 200ML     ;;9;202607;3;
56;00075228;996670;REFRI FANTA LARANJA 350ML     ;;2;202607;3;
57;00079062;114782;REFRI COCA COLA ZERO 600 ML   ;;12;202607;4;
17;00078080;114782;REFRI COCA COLA ZERO 600 ML   ;;12;202607;4;
10;00045011;205796;BISC CLUB SOCIAL QUEIJO 141G  ;;2;202608;4;
35;00010624;274739;BISC PIRAQUE PRESUNTINHO 100GR;;1;202607;3;
40;00010258;274739;BISC PIRAQUE PRESUNTINHO 100GR;;1;202608;3;
69;00036171;274739;BISC PIRAQUE PRESUNTINHO 100GR;;2;202607;3;
10;00042078;274739;BISC PIRAQUE PRESUNTINHO 100GR;;1;202608;3;
61;00037555;274747;BISC PIRAQUE SALGADINHO 100GR ;;6;202607;3;
66;00014833;274755;BISC PIRAQUE QUEIJO 100GR     ;;8;202607;3;
77;00022795;274755;BISC PIRAQUE QUEIJO 100GR     ;;3;202607;3;
62;00043664;274755;BISC PIRAQUE QUEIJO 100GR     ;;3;202607;3;
71;00052041;274755;BISC PIRAQUE QUEIJO 100GR     ;;9;202608;3;
12;00056379;274755;BISC PIRAQUE QUEIJO 100GR     ;;4;202608;3;
17;00058290;274755;BISC PIRAQUE QUEIJO 100GR     ;;7;202608;3;
47;00061239;274755;BISC PIRAQUE QUEIJO 100GR     ;;2;202607;3;
14;00062523;274755;BISC PIRAQUE QUEIJO 100GR     ;;4;202608;3;
51;00068705;274755;BISC PIRAQUE QUEIJO 100GR     ;;3;202608;3;
51;00080187;274755;BISC PIRAQUE QUEIJO 100GR     ;;2;202608;3;
18;00061552;280950;BISC CLUB SOCIAL PRESUNTO 141G;;14;202608;4;
